Id, Generation time, Nr of test steps
1,353,5
2,100,5
3,145,107
4,14,16
5,41,91
6,20,34
7,19,53
8,21,52
9,16,43
10,15,8
11,31,32
12,5,17
13,16,13
14,22,26
15,13,23
16,7,9
17,13,30
18,50,82
19,32,37
20,67,51
21,152,55
22,31,53
23,5,15
24,9,33
25,26,59
26,9,21
27,14,17
28,20,45
29,35,84
30,20,119
31,11,21
32,42,70
33,6,23
34,5,20
35,11,23
36,30,56
37,20,90
38,6,33
39,7,64
40,10,9
41,13,21
42,14,90
43,5,27
44,6,59
45,3,15
46,11,43
47,5,32
48,4,24
49,5,30
50,8,33
51,10,41
52,6,21
53,7,26
54,6,39
55,5,49
56,12,20
57,9,27
58,4,21
59,9,24
60,9,36
61,7,47
62,4,32
63,4,18
64,7,68
65,5,49
66,5,16
67,3,6
68,6,39
69,23,39
70,7,36
71,5,52
72,10,40
73,27,19
74,4,11
75,5,39
76,83,46
77,4,20
78,8,69
79,4,26
80,8,57
81,3,4
82,6,42
83,5,17
84,6,45
85,3,23
86,4,38
87,4,27
88,3,16
89,12,61
90,2,4
91,9,73
92,15,53
93,14,47
94,12,57
95,5,42
96,10,7
97,3,14
98,3,21
99,5,48
100,5,9
