Id, Generation time, Nr of test steps
1,241,20
2,32,37
3,76,14
4,20,31
5,21,41
6,20,24
7,16,12
8,16,60
9,8,18
10,30,45
11,5,13
12,24,14
13,14,11
14,11,43
15,12,29
16,8,14
17,6,30
18,9,26
19,21,26
20,25,30
21,19,25
22,33,13
23,4,16
24,25,12
25,5,18
26,3,9
27,14,37
28,15,35
29,62,29
30,35,38
31,20,9
32,30,16
33,4,11
34,4,19
35,20,16
36,4,20
37,18,26
38,5,33
39,88,31
40,5,16
41,17,28
42,16,14
43,12,15
44,7,19
45,7,37
46,3,9
47,9,33
48,16,36
49,3,20
50,5,17
51,49,12
52,57,27
53,36,35
54,31,47
55,6,29
56,3,20
57,9,28
58,3,20
59,4,22
60,9,6
61,20,25
62,17,21
63,14,34
64,11,26
65,14,21
66,6,22
67,3,22
68,11,15
69,26,35
70,29,18
71,7,29
72,104,16
73,16,29
74,11,12
75,100,29
76,27,25
77,13,8
78,8,22
79,7,11
80,11,14
81,22,13
82,10,29
83,4,39
84,5,12
85,7,29
86,9,19
87,5,14
88,24,7
89,3,10
90,5,16
91,4,25
92,10,9
93,8,12
94,15,34
95,56,29
96,13,20
97,8,26
98,58,34
99,19,14
100,7,26
