Id, Generation time, Nr of test steps
1,227,34
2,88,42
3,18,27
4,23,32
5,12,28
6,58,40
7,7,26
8,23,43
9,45,62
10,67,36
11,71,56
12,6,26
13,39,60
14,13,32
15,7,36
16,25,31
17,20,36
18,17,29
19,12,49
20,25,40
21,26,76
22,31,29
23,30,30
24,12,68
25,26,51
26,30,28
27,8,33
28,47,60
29,43,47
30,19,70
31,11,53
32,11,34
33,9,25
34,26,69
35,10,49
36,19,38
37,13,52
38,12,61
39,10,33
40,10,56
41,5,37
42,36,62
43,11,43
44,5,27
45,5,29
46,7,35
47,17,26
48,15,56
49,5,25
50,11,44
51,27,65
52,8,40
53,7,62
54,4,28
55,5,44
56,34,64
57,12,35
58,28,73
59,26,71
60,9,51
61,5,24
62,12,90
63,37,40
64,31,43
65,140,54
66,9,74
67,16,37
68,5,29
69,39,33
70,26,50
71,38,72
72,5,53
73,38,31
74,76,70
75,28,69
76,17,26
77,11,31
78,5,46
79,4,37
80,21,39
81,5,46
82,5,42
83,5,38
84,13,35
85,16,94
86,4,27
87,10,41
88,4,35
89,5,34
90,4,24
91,3,24
92,5,51
93,4,32
94,3,31
95,14,29
96,5,54
97,4,31
98,27,31
99,59,49
100,63,38
