Id, Generation time, Nr of test steps
1,248,102
2,18,24
3,31,88
4,18,36
5,7,7
6,44,139
7,8,19
8,10,41
9,7,20
10,14,20
11,6,14
12,29,156
13,14,67
14,24,188
15,7,22
16,25,82
17,15,33
18,11,21
19,11,13
20,9,16
21,6,7
22,4,10
23,26,211
24,4,12
25,9,33
26,4,33
27,10,54
28,10,52
29,3,9
30,3,9
31,6,35
32,6,44
33,9,69
34,13,119
35,12,150
36,4,26
37,62,420
38,10,47
39,2,9
40,13,5
41,7,7
42,28,121
43,8,7
44,15,194
45,4,14
46,13,40
47,19,187
48,35,5
49,9,11
50,40,163
51,21,196
52,10,120
53,5,28
54,5,31
55,7,24
56,7,69
57,3,6
58,6,51
59,6,26
60,7,99
61,4,47
62,4,25
63,5,15
64,19,78
65,12,96
66,4,60
67,9,152
68,4,4
69,28,84
70,3,28
71,17,251
72,3,22
73,9,91
74,4,55
75,3,19
76,17,195
77,3,31
78,3,17
79,2,19
80,4,39
81,3,27
82,15,9
83,11,84
84,2,19
85,5,54
86,12,95
87,8,8
88,20,108
89,60,50
90,5,8
91,3,31
92,4,11
93,27,148
94,18,34
95,13,10
96,11,28
97,11,73
98,4,37
99,20,72
100,5,53
