Id, Generation time, Nr of test steps
1,231,88
2,9,23
3,18,28
4,6,7
5,9,23
6,6,12
7,12,48
8,12,30
9,11,45
10,22,74
11,22,104
12,12,79
13,12,29
14,10,14
15,6,44
16,9,36
17,4,15
18,10,70
19,10,6
20,18,45
21,13,22
22,24,35
23,13,49
24,10,60
25,10,31
26,4,15
27,6,6
28,10,84
29,7,12
30,8,13
31,14,10
32,10,29
33,10,18
34,10,22
35,4,13
36,6,13
37,5,66
38,4,35
39,29,53
40,7,49
41,4,36
42,16,43
43,12,17
44,6,32
45,9,80
46,5,27
47,13,43
48,3,15
49,4,21
50,3,15
51,3,10
52,10,25
53,4,34
54,3,14
55,6,23
56,4,45
57,8,39
58,5,42
59,9,76
60,3,16
61,5,56
62,6,50
63,4,37
64,12,29
65,4,13
66,3,33
67,4,35
68,11,25
69,11,42
70,3,20
71,7,24
72,4,15
73,7,29
74,9,7
75,7,13
76,3,22
77,8,15
78,2,18
79,7,77
80,9,67
81,5,56
82,10,48
83,3,36
84,5,29
85,4,10
86,6,56
87,3,47
88,4,43
89,2,8
90,3,33
91,2,17
92,3,39
93,3,18
94,2,14
95,3,29
96,5,34
97,7,29
98,3,10
99,3,36
100,11,39
