Id, Generation time, Nr of test steps
1,203,83
2,94,237
3,54,126
4,48,157
5,21,122
6,20,153
7,18,87
8,21,93
9,16,148
10,12,29
11,14,129
12,12,114
13,13,74
14,18,123
15,9,97
16,6,62
17,12,71
18,8,79
19,13,131
20,4,44
21,13,182
22,5,52
23,6,62
24,14,75
25,6,65
26,8,96
27,27,149
28,59,71
29,14,83
30,14,94
31,10,62
32,17,80
33,62,158
34,7,49
35,10,45
36,20,133
37,23,89
38,6,54
39,6,70
40,7,60
41,9,100
42,15,64
43,30,117
44,15,153
45,7,38
46,6,94
47,5,48
48,4,48
49,5,78
50,14,135
51,11,51
52,18,93
53,4,35
54,42,147
55,18,59
56,5,62
57,11,47
58,6,50
59,10,80
60,6,47
61,6,63
62,10,51
63,7,75
64,26,227
65,22,113
66,15,319
67,7,90
68,3,70
69,6,79
70,3,51
71,7,159
72,3,67
73,13,211
74,13,78
75,15,162
76,7,148
77,5,74
78,8,150
79,7,66
80,5,61
81,4,79
82,14,270
83,25,212
84,13,68
85,25,196
86,57,169
87,4,73
88,12,93
89,6,48
90,6,71
91,103,728
92,8,128
93,10,87
94,17,119
95,3,52
96,11,61
97,9,103
98,131,99
99,4,81
100,9,82
