Id, Generation time, Nr of test steps
1,242,86
2,44,70
3,43,163
4,31,141
5,14,53
6,20,50
7,19,57
8,22,87
9,26,175
10,19,62
11,6,54
12,10,41
13,14,37
14,12,62
15,6,43
16,26,79
17,17,176
18,13,59
19,21,85
20,29,126
21,16,103
22,10,111
23,6,53
24,6,62
25,8,80
26,15,125
27,10,63
28,9,101
29,8,97
30,23,90
31,19,50
32,12,67
33,10,61
34,18,61
35,9,96
36,31,243
37,39,112
38,11,47
39,8,57
40,11,131
41,7,56
42,26,80
43,20,132
44,21,220
45,7,100
46,6,94
47,3,53
48,10,159
49,7,85
50,8,129
51,7,50
52,17,116
53,7,77
54,9,97
55,11,122
56,7,57
57,8,47
58,19,79
59,17,62
60,32,101
61,20,98
62,15,75
63,22,159
64,7,60
65,19,189
66,19,101
67,6,90
68,12,214
69,14,135
70,16,61
71,5,63
72,4,57
73,4,54
74,4,78
75,7,127
76,6,85
77,3,57
78,4,70
79,7,99
80,5,54
81,7,115
82,4,79
83,5,47
84,8,121
85,13,121
86,46,148
87,11,105
88,4,46
89,4,81
90,7,118
91,5,104
92,9,118
93,4,59
94,7,52
95,5,78
96,7,90
97,4,81
98,4,46
99,8,131
100,5,106
