Id, Generation time, Nr of test steps
1,307,134
2,114,307
3,13,29
4,31,77
5,38,106
6,32,164
7,76,330
8,38,175
9,29,112
10,34,17
11,63,441
12,13,45
13,16,103
14,7,53
15,48,249
16,16,11
17,42,248
18,14,89
19,201,726
20,17,171
21,15,24
22,107,840
23,13,41
24,21,229
25,5,25
26,2,22
27,21,246
28,8,35
29,53,427
30,120,169
31,131,628
32,80,448
33,37,12
34,34,46
35,97,91
36,9,52
37,67,62
38,222,26
39,178,82
40,896,270
41,147,142
42,96,259
43,170,863
44,3,29
45,50,450
46,54,96
47,5,23
48,4,95
49,17,152
50,38,237
51,10,103
52,36,4
53,60,229
54,2,21
55,34,85
56,46,191
57,6,112
58,67,96
59,5,71
60,6,156
61,2,15
62,9,32
63,48,569
64,6,7
65,4,43
66,3,79
67,125,559
68,6,152
69,5,106
70,93,719
71,17,150
72,32,94
73,24,287
74,26,90
75,2,19
76,42,447
77,14,234
78,4,78
79,35,157
80,3,59
81,23,156
82,24,276
83,37,48
84,10,105
85,29,143
86,15,138
87,59,19
88,32,354
89,17,209
90,9,13
91,27,32
92,5,17
93,3,93
94,35,142
95,24,116
96,60,171
97,20,21
98,33,120
99,41,67
100,11,177
