Id, Generation time, Nr of test steps
1,257,65
2,36,11
3,47,136
4,36,51
5,15,46
6,19,24
7,22,31
8,14,48
9,11,29
10,8,28
11,9,17
12,11,31
13,11,15
14,13,34
15,16,120
16,20,100
17,32,90
18,11,20
19,11,19
20,11,23
21,18,8
22,27,193
23,34,156
24,11,26
25,22,77
26,11,44
27,25,50
28,20,25
29,9,62
30,9,48
31,7,29
32,5,24
33,53,227
34,22,103
35,12,27
36,7,48
37,10,100
38,9,80
39,21,67
40,7,44
41,37,59
42,9,18
43,12,18
44,13,72
45,7,51
46,10,42
47,11,66
48,5,17
49,16,123
50,21,222
51,15,72
52,9,49
53,7,89
54,15,36
55,12,112
56,26,56
57,44,117
58,20,13
59,8,25
60,15,97
61,6,27
62,9,71
63,28,60
64,21,27
65,15,5
66,22,98
67,3,8
68,21,75
69,104,51
70,14,66
71,5,50
72,12,33
73,6,10
74,25,43
75,50,16
76,4,13
77,8,49
78,20,129
79,27,107
80,12,72
81,13,124
82,71,10
83,2,8
84,3,15
85,36,50
86,71,54
87,9,78
88,9,41
89,4,30
90,20,111
91,7,58
92,5,13
93,16,109
94,10,54
95,20,69
96,19,20
97,16,110
98,87,76
99,15,54
100,6,36
