Id, Generation time, Nr of test steps
1,619,358
2,157,169
3,409,764
4,22,180
5,30,245
6,91,390
7,52,323
8,165,206
9,32,222
10,66,399
11,12,116
12,139,137
13,121,545
14,125,111
15,49,408
16,77,135
17,135,621
18,157,539
19,436,1461
20,15,221
21,27,385
22,12,161
23,32,201
24,34,451
25,105,151
26,23,233
27,28,268
28,136,110
29,14,276
30,53,158
31,118,208
32,175,218
33,92,153
34,404,272
35,389,988
36,10,126
37,10,217
38,31,132
39,14,245
40,14,295
41,18,134
42,64,631
43,22,87
44,20,169
45,24,232
46,29,133
47,514,266
48,92,141
49,54,357
50,29,138
51,66,251
52,95,619
53,22,75
54,33,191
55,67,393
56,5,68
57,9,167
58,19,346
59,24,91
60,4,64
61,26,71
62,36,332
63,64,569
64,126,835
65,88,495
66,6,154
67,14,161
68,93,638
69,13,107
70,14,279
71,50,498
72,6,98
73,22,147
74,7,156
75,27,363
76,11,220
77,94,456
78,47,340
79,65,590
80,29,241
81,22,187
82,19,113
83,43,282
84,324,1308
85,91,276
86,6,163
87,38,338
88,18,269
89,16,189
90,13,265
91,23,143
92,11,123
93,14,217
94,17,207
95,47,286
96,32,362
97,43,222
98,9,195
99,39,477
100,11,222
