Id, Generation time, Nr of test steps
1,435,192
2,113,307
3,86,245
4,31,111
5,38,116
6,52,183
7,65,268
8,26,167
9,34,251
10,37,219
11,300,1006
12,28,197
13,29,114
14,95,211
15,8,69
16,26,239
17,13,213
18,28,319
19,24,282
20,16,171
21,38,436
22,72,515
23,41,149
24,77,434
25,74,225
26,42,161
27,29,189
28,17,201
29,17,312
30,35,395
31,49,373
32,91,394
33,25,160
34,19,239
35,17,232
36,14,111
37,19,74
38,25,270
39,65,445
40,77,207
41,28,230
42,39,285
43,10,180
44,21,190
45,17,211
46,22,211
47,51,312
48,25,161
49,37,386
50,25,255
51,6,114
52,63,492
53,84,673
54,12,87
55,30,328
56,12,106
57,29,154
58,26,279
59,11,142
60,40,233
61,32,382
62,17,167
63,46,411
64,34,332
65,13,108
66,25,312
67,98,589
68,30,229
69,33,199
70,43,292
71,21,315
72,39,290
73,41,375
74,18,209
75,13,179
76,23,209
77,21,186
78,82,301
79,36,179
80,56,331
81,27,112
82,37,192
83,94,424
84,199,247
85,90,144
86,147,137
87,20,183
88,182,230
89,105,230
90,7,116
91,45,164
92,200,239
93,87,93
94,7,85
95,71,330
96,200,600
97,81,304
98,14,302
99,16,137
100,22,213
