Id, Generation time, Nr of test steps
1,498,4
2,5,5
3,5,4
4,6,5
5,3,3
6,4,6
7,4,4
8,4,7
9,3,3
10,4,3
11,5,5
12,6,6
13,4,3
14,5,7
15,6,6
16,15,5
17,14,7
18,3,5
19,3,4
20,4,5
21,32,7
22,2,3
23,3,3
24,4,6
25,3,5
26,3,3
27,4,4
28,4,3
29,3,3
30,2,4
31,4,7
32,3,6
33,3,3
34,3,5
35,6,6
36,4,6
37,2,3
38,3,3
39,3,6
40,17,5
41,3,5
42,3,5
43,4,7
44,3,7
45,2,4
46,2,3
47,15,7
48,3,3
49,4,4
50,3,5
51,3,4
52,4,5
53,3,5
54,3,4
55,3,6
56,3,7
57,2,3
58,3,7
59,3,4
60,2,7
61,6,6
62,5,4
63,3,3
64,2,6
65,3,6
66,2,6
67,2,5
68,4,4
69,24,3
70,3,4
71,2,7
72,2,4
73,8,7
74,3,7
75,2,3
76,2,3
77,3,7
78,3,6
79,4,7
80,4,6
81,26,6
82,3,7
83,2,3
84,2,3
85,3,3
86,2,3
87,3,3
88,2,5
89,2,6
90,5,7
91,3,3
92,3,5
93,2,4
94,2,7
95,3,7
96,53,6
97,2,4
98,3,7
99,2,6
100,2,4
