Id, Generation time, Nr of test steps
1,228,6
2,51,9
3,10,6
4,49,7
5,39,15
6,24,14
7,26,14
8,9,13
9,24,9
10,22,22
11,10,5
12,15,14
13,5,16
14,25,32
15,14,45
16,17,14
17,14,9
18,14,8
19,8,17
20,7,5
21,20,9
22,8,7
23,5,7
24,9,3
25,5,7
26,16,31
27,22,6
28,6,6
29,31,13
30,22,9
31,19,7
32,29,22
33,9,12
34,25,8
35,8,3
36,6,4
37,5,17
38,10,9
39,11,32
40,3,9
41,4,18
42,4,16
43,5,21
44,32,31
45,9,8
46,4,15
47,4,7
48,3,3
49,3,7
50,5,9
51,7,7
52,2,7
53,5,30
54,8,24
55,12,14
56,7,8
57,2,6
58,9,31
59,3,20
60,3,6
61,2,10
62,8,29
63,5,14
64,9,5
65,11,5
66,5,19
67,5,9
68,4,3
69,12,2
70,6,14
71,7,20
72,4,7
73,8,7
74,3,8
75,2,7
76,9,6
77,12,31
78,3,4
79,10,17
80,3,3
81,11,21
82,6,25
83,4,6
84,8,13
85,8,6
86,4,5
87,5,22
88,5,10
89,3,19
90,8,21
91,3,12
92,5,4
93,3,19
94,3,6
95,3,22
96,3,14
97,10,19
98,4,9
99,4,26
100,2,7
