Id, Generation time, Nr of test steps
1,256,7
2,11,7
3,7,7
4,5,7
5,4,7
6,8,7
7,6,7
8,19,7
9,27,7
10,9,7
11,11,7
12,5,7
13,10,7
14,13,7
15,4,7
16,12,7
17,5,7
18,10,7
19,9,7
20,4,7
21,3,7
22,5,7
23,11,7
24,5,7
25,8,7
26,7,7
27,3,7
28,3,7
29,11,7
30,8,7
31,4,7
32,3,7
33,3,7
34,54,7
35,15,7
36,4,7
37,4,7
38,7,7
39,4,7
40,4,7
41,4,7
42,7,7
43,3,7
44,3,7
45,5,7
46,3,7
47,3,7
48,4,7
49,3,7
50,3,7
51,3,7
52,2,7
53,3,7
54,3,7
55,5,7
56,6,7
57,3,7
58,3,7
59,3,7
60,2,7
61,3,7
62,4,7
63,3,7
64,12,7
65,3,7
66,4,7
67,3,7
68,3,7
69,23,7
70,9,7
71,2,7
72,3,7
73,13,7
74,9,7
75,19,7
76,35,7
77,3,7
78,2,7
79,3,7
80,5,7
81,2,7
82,2,7
83,10,7
84,4,7
85,3,7
86,4,7
87,3,7
88,3,7
89,4,7
90,3,7
91,2,7
92,6,7
93,3,7
94,4,7
95,3,7
96,3,7
97,4,7
98,3,7
99,2,7
100,2,7
