Id, Generation time, Nr of test steps
1,131,4
2,5,5
3,6,3
4,7,13
5,3,7
6,3,5
7,2,3
8,3,3
9,2,3
10,4,6
11,19,4
12,4,6
13,4,5
14,3,10
15,2,4
16,4,5
17,2,4
18,2,5
19,3,3
20,6,9
21,6,16
22,5,5
23,2,8
24,3,4
25,6,6
26,5,6
27,4,3
28,3,5
29,3,8
30,4,5
31,2,6
32,3,3
33,3,3
34,5,6
35,2,4
36,8,9
37,2,9
38,9,4
39,10,4
40,2,3
41,3,3
42,2,3
43,2,12
44,8,12
45,6,4
46,3,4
47,5,13
48,2,5
49,6,7
50,4,3
51,4,4
52,5,4
53,8,3
54,2,4
55,3,19
56,2,3
57,12,3
58,3,8
59,2,11
60,6,4
61,2,6
62,8,4
63,3,9
64,22,8
65,3,3
66,11,21
67,25,4
68,11,7
69,44,11
70,2,3
71,3,4
72,16,5
73,4,4
74,23,12
75,2,11
76,33,7
77,4,3
78,2,4
79,25,4
80,3,18
81,9,3
82,17,12
83,9,3
84,14,12
85,8,5
86,2,5
87,3,17
88,2,3
89,1,3
90,5,7
91,3,4
92,2,11
93,5,8
94,2,5
95,2,11
96,7,8
97,2,6
98,2,7
99,10,4
100,8,5
