Id, Generation time, Nr of test steps
1,186,33
2,9,12
3,7,11
4,10,27
5,8,17
6,24,25
7,5,17
8,25,2
9,15,34
10,7,7
11,3,5
12,2,2
13,13,28
14,8,6
15,3,2
16,10,9
17,10,3
18,11,25
19,15,22
20,9,13
21,5,5
22,4,8
23,3,3
24,7,14
25,6,4
26,3,8
27,6,11
28,5,10
29,3,13
30,3,5
31,23,4
32,6,8
33,11,16
34,26,10
35,9,12
36,6,40
37,13,12
38,3,10
39,3,8
40,26,8
41,13,14
42,8,6
43,3,5
44,8,17
45,6,14
46,6,7
47,13,15
48,14,15
49,6,10
50,4,7
51,9,8
52,4,8
53,9,6
54,8,29
55,14,18
56,4,16
57,5,18
58,11,45
59,3,11
60,4,5
61,3,12
62,3,14
63,4,8
64,5,52
65,3,26
66,2,15
67,3,12
68,3,11
69,3,15
70,3,14
71,9,40
72,4,36
73,2,14
74,3,8
75,2,11
76,2,2
77,2,10
78,2,8
79,2,22
80,16,17
81,5,25
82,2,18
83,2,10
84,3,12
85,8,22
86,7,9
87,3,12
88,3,9
89,2,5
90,4,30
91,2,13
92,3,19
93,2,3
94,5,6
95,2,21
96,3,12
97,5,11
98,2,8
99,2,10
100,2,30
