Id, Generation time, Nr of test steps
1,170,15
2,8,14
3,5,10
4,15,24
5,7,17
6,9,26
7,8,18
8,23,23
9,6,14
10,11,15
11,10,14
12,3,9
13,7,12
14,9,19
15,10,15
16,8,15
17,15,26
18,4,25
19,5,29
20,6,13
21,3,10
22,4,10
23,4,16
24,3,11
25,5,16
26,5,14
27,7,10
28,3,11
29,2,9
30,4,14
31,4,19
32,3,13
33,10,13
34,4,11
35,3,10
36,3,9
37,7,8
38,4,23
39,3,11
40,2,10
41,5,21
42,6,36
43,3,12
44,5,19
45,2,22
46,2,9
47,2,13
48,3,13
49,3,16
50,3,16
51,3,14
52,3,8
53,3,17
54,3,31
55,2,18
56,9,11
57,3,8
58,5,13
59,16,33
60,2,10
61,2,12
62,5,42
63,4,15
64,7,17
65,2,12
66,3,20
67,3,9
68,2,13
69,18,19
70,9,12
71,2,14
72,2,16
73,5,13
74,5,34
75,13,7
76,8,13
77,4,10
78,14,8
79,9,16
80,3,10
81,2,22
82,4,24
83,2,12
84,2,19
85,3,10
86,2,15
87,2,7
88,2,18
89,2,13
90,5,19
91,5,17
92,2,26
93,2,7
94,3,24
95,2,10
96,10,15
97,17,9
98,5,7
99,2,17
100,2,14
