Id, Generation time, Nr of test steps
1,270,19
2,31,26
3,6,8
4,24,21
5,11,9
6,5,17
7,11,32
8,8,11
9,9,12
10,6,21
11,11,12
12,5,14
13,4,10
14,11,10
15,3,8
16,9,18
17,9,12
18,4,10
19,7,16
20,4,14
21,5,9
22,3,11
23,5,11
24,6,15
25,4,10
26,3,11
27,7,21
28,3,11
29,3,13
30,4,11
31,3,13
32,5,13
33,4,24
34,8,10
35,4,11
36,5,24
37,4,19
38,3,16
39,4,14
40,16,17
41,4,13
42,13,16
43,13,9
44,7,18
45,8,10
46,3,15
47,3,13
48,2,14
49,3,17
50,4,10
51,3,13
52,3,12
53,4,11
54,9,14
55,13,8
56,20,14
57,15,7
58,2,10
59,3,15
60,3,26
61,7,21
62,4,12
63,9,14
64,16,12
65,43,9
66,2,27
67,2,10
68,21,10
69,32,14
70,2,9
71,2,8
72,34,15
73,19,36
74,60,12
75,15,18
76,4,18
77,15,10
78,21,21
79,2,13
80,6,16
81,61,8
82,9,9
83,15,10
84,5,8
85,4,18
86,2,10
87,2,15
88,2,11
89,6,25
90,2,13
91,2,17
92,4,20
93,2,18
94,2,11
95,2,11
96,15,20
97,8,10
98,2,20
99,2,23
100,4,13
