Id, Generation time, Nr of test steps
1,217,3
2,51,3
3,38,3
4,19,3
5,5,5
6,11,3
7,10,3
8,4,3
9,4,5
10,13,4
11,5,3
12,3,4
13,11,4
14,27,4
15,3,3
16,7,5
17,8,6
18,10,3
19,4,6
20,4,3
21,3,3
22,21,4
23,8,3
24,5,3
25,11,3
26,14,3
27,7,4
28,15,3
29,82,3
30,25,6
31,3,4
32,56,4
33,9,6
34,3,4
35,2,3
36,7,3
37,7,3
38,6,3
39,2,4
40,8,3
41,6,3
42,4,7
43,17,6
44,24,5
45,20,4
46,4,3
47,4,4
48,3,4
49,3,6
50,23,4
51,21,4
52,3,3
53,2,3
54,4,3
55,3,6
56,2,3
57,8,3
58,3,4
59,2,3
60,3,3
61,7,3
62,2,3
63,3,4
64,2,3
65,3,3
66,2,4
67,8,3
68,4,3
69,35,3
70,17,3
71,11,5
72,3,3
73,3,4
74,11,3
75,9,4
76,3,3
77,6,3
78,2,5
79,3,4
80,3,4
81,2,4
82,4,5
83,8,3
84,3,4
85,10,5
86,8,4
87,3,3
88,5,4
89,3,5
90,28,7
91,4,3
92,16,3
93,10,3
94,8,4
95,2,4
96,11,4
97,2,3
98,2,3
99,2,5
100,7,3
