Id, Generation time, Nr of test steps
1,176,14
2,12,23
3,47,56
4,18,41
5,6,3
6,5,14
7,7,9
8,9,37
9,7,29
10,5,6
11,16,46
12,6,7
13,4,12
14,10,13
15,4,3
16,18,11
17,6,46
18,4,9
19,5,33
20,6,10
21,12,7
22,3,15
23,4,12
24,2,2
25,12,18
26,9,5
27,4,5
28,6,16
29,3,8
30,5,19
31,3,7
32,3,7
33,3,7
34,17,13
35,11,8
36,12,36
37,3,11
38,3,22
39,3,10
40,6,10
41,3,18
42,3,9
43,4,10
44,3,28
45,2,16
46,2,6
47,21,8
48,3,6
49,8,9
50,2,2
51,3,8
52,4,8
53,5,27
54,10,5
55,7,21
56,9,30
57,3,3
58,9,7
59,11,21
60,5,6
61,5,9
62,3,9
63,6,6
64,9,7
65,4,13
66,6,23
67,5,21
68,7,12
69,3,32
70,9,6
71,3,4
72,9,32
73,17,31
74,4,14
75,13,7
76,2,7
77,19,3
78,7,5
79,2,2
80,3,20
81,3,12
82,7,6
83,7,17
84,12,10
85,9,20
86,9,22
87,5,13
88,2,5
89,2,24
90,3,30
91,2,9
92,2,21
93,2,15
94,6,10
95,3,2
96,9,4
97,2,7
98,4,10
99,6,6
100,6,19
