Id, Generation time, Nr of test steps
1,290,41
2,47,24
3,166,24
4,7,17
5,16,25
6,24,31
7,18,24
8,27,7
9,16,36
10,29,43
11,54,26
12,35,14
13,33,32
14,23,58
15,6,56
16,12,9
17,11,7
18,39,58
19,27,17
20,34,14
21,241,13
22,76,27
23,32,23
24,6,48
25,9,50
26,36,40
27,81,15
28,40,30
29,11,15
30,121,36
31,16,12
32,32,36
33,20,28
34,28,60
35,79,57
36,14,17
37,54,9
38,10,40
39,5,45
40,3,12
41,3,21
42,21,17
43,34,43
44,17,48
45,4,19
46,6,53
47,3,44
48,3,30
49,4,25
50,4,48
51,11,22
52,3,32
53,2,16
54,3,26
55,20,91
56,5,20
57,6,39
58,3,23
59,2,20
60,3,15
61,17,97
62,12,15
63,9,20
64,5,24
65,3,17
66,5,11
67,4,8
68,7,25
69,20,65
70,3,39
71,7,44
72,7,23
73,5,34
74,18,16
75,5,16
76,5,16
77,10,26
78,10,36
79,3,16
80,2,21
81,2,8
82,4,57
83,8,93
84,4,45
85,4,27
86,10,30
87,3,32
88,2,13
89,3,15
90,5,22
91,3,41
92,3,14
93,5,66
94,4,74
95,2,11
96,16,60
97,3,46
98,6,33
99,6,25
100,2,32
