Id, Generation time, Nr of test steps
1,286,24
2,32,29
3,24,14
4,81,12
5,23,22
6,20,13
7,90,30
8,80,33
9,48,15
10,67,9
11,65,12
12,23,10
13,16,32
14,21,31
15,8,30
16,9,22
17,14,15
18,9,29
19,15,48
20,7,25
21,24,20
22,12,21
23,24,47
24,7,15
25,6,16
26,7,47
27,8,17
28,15,35
29,4,12
30,9,14
31,6,7
32,15,15
33,31,54
34,30,22
35,4,17
36,3,13
37,11,67
38,14,9
39,11,25
40,4,11
41,18,66
42,20,14
43,3,8
44,14,24
45,22,87
46,5,60
47,11,47
48,8,33
49,10,16
50,12,35
51,5,63
52,4,18
53,2,13
54,3,11
55,33,53
56,4,32
57,51,8
58,16,60
59,4,22
60,5,55
61,3,25
62,8,61
63,38,16
64,56,30
65,4,24
66,5,10
67,5,55
68,23,20
69,260,42
70,13,36
71,44,24
72,38,21
73,33,35
74,23,28
75,15,16
76,11,81
77,5,36
78,16,10
79,3,54
80,12,17
81,9,72
82,3,19
83,3,20
84,6,13
85,7,32
86,12,33
87,10,42
88,7,33
89,11,16
90,18,24
91,30,15
92,7,57
93,12,17
94,7,20
95,3,56
96,3,36
97,17,18
98,6,40
99,2,16
100,3,38
