Id, Generation time, Nr of test steps
1,320,53
2,83,41
3,50,37
4,13,13
5,19,39
6,19,39
7,20,14
8,32,45
9,29,45
10,17,46
11,12,22
12,22,41
13,65,47
14,49,38
15,28,69
16,14,27
17,17,24
18,11,14
19,29,45
20,7,25
21,8,12
22,14,31
23,18,59
24,7,33
25,21,39
26,16,66
27,13,41
28,31,11
29,9,15
30,7,23
31,9,47
32,54,41
33,24,11
34,7,20
35,9,36
36,28,10
37,17,48
38,7,7
39,4,11
40,26,35
41,7,25
42,6,19
43,13,43
44,31,39
45,5,16
46,16,48
47,4,12
48,9,43
49,7,22
50,5,24
51,5,19
52,8,31
53,11,27
54,5,26
55,9,30
56,11,53
57,22,31
58,10,27
59,11,39
60,4,13
61,22,16
62,5,25
63,8,40
64,10,41
65,19,45
66,9,49
67,6,34
68,6,20
69,48,41
70,5,24
71,11,16
72,6,29
73,5,19
74,4,18
75,6,35
76,16,44
77,8,11
78,8,12
79,12,54
80,46,73
81,4,10
82,10,28
83,17,42
84,9,17
85,4,17
86,4,11
87,10,30
88,34,56
89,4,16
90,9,33
91,15,41
92,3,15
93,5,48
94,5,35
95,5,32
96,2,11
97,4,48
98,3,10
99,3,12
100,4,46
