Id, Generation time, Nr of test steps
1,293,112
2,70,130
3,37,58
4,44,147
5,14,35
6,15,39
7,34,128
8,25,124
9,68,163
10,18,93
11,49,67
12,11,73
13,12,61
14,46,55
15,59,105
16,17,66
17,15,50
18,31,118
19,18,76
20,46,56
21,15,73
22,78,208
23,40,87
24,6,16
25,10,62
26,9,65
27,42,79
28,10,72
29,34,101
30,44,98
31,53,92
32,7,45
33,11,82
34,13,64
35,6,47
36,12,77
37,79,306
38,86,54
39,17,135
40,9,57
41,82,51
42,31,246
43,78,52
44,17,162
45,101,144
46,25,98
47,48,170
48,118,439
49,12,88
50,12,32
51,38,216
52,19,191
53,41,54
54,28,162
55,21,229
56,19,99
57,8,88
58,6,78
59,4,60
60,8,92
61,12,93
62,4,42
63,6,45
64,25,166
65,12,167
66,7,60
67,10,78
68,80,134
69,6,51
70,6,62
71,4,16
72,7,32
73,118,56
74,8,82
75,5,58
76,7,46
77,103,161
78,10,126
79,9,113
80,7,76
81,63,91
82,6,79
83,6,67
84,9,109
85,196,96
86,11,48
87,32,66
88,195,65
89,209,111
90,3,48
91,15,73
92,5,56
93,6,77
94,8,42
95,7,83
96,18,73
97,11,154
98,16,75
99,720,335
100,159,50
