Id, Generation time, Nr of test steps
1,317,81
2,47,70
3,233,241
4,136,124
5,242,247
6,98,106
7,53,99
8,121,152
9,72,99
10,70,161
11,18,78
12,27,67
13,23,134
14,38,97
15,43,76
16,21,100
17,56,162
18,36,174
19,26,104
20,69,101
21,41,94
22,115,159
23,17,118
24,154,102
25,33,205
26,22,82
27,13,78
28,11,96
29,54,99
30,13,104
31,8,71
32,113,185
33,13,85
34,16,80
35,15,112
36,9,99
37,53,109
38,11,105
39,26,123
40,11,98
41,10,86
42,64,105
43,28,143
44,170,264
45,13,83
46,17,95
47,7,67
48,15,97
49,25,137
50,8,69
51,54,99
52,11,67
53,9,98
54,8,91
55,86,99
56,17,162
57,22,64
58,22,173
59,28,83
60,51,140
61,9,86
62,9,91
63,39,175
64,53,282
65,7,81
66,55,93
67,19,138
68,38,193
69,128,379
70,35,148
71,17,149
72,50,149
73,19,101
74,53,178
75,11,104
76,28,165
77,11,111
78,8,94
79,65,193
80,12,90
81,43,178
82,15,162
83,9,99
84,9,101
85,8,64
86,29,125
87,85,269
88,20,155
89,7,70
90,56,138
91,18,77
92,10,78
93,88,107
94,24,220
95,20,85
96,14,102
97,16,107
98,101,158
99,11,77
100,9,95
