Id, Generation time, Nr of test steps
1,246,83
2,16,13
3,32,66
4,42,94
5,35,159
6,24,124
7,11,24
8,24,75
9,14,44
10,57,254
11,34,211
12,11,35
13,12,83
14,8,8
15,13,74
16,70,218
17,60,184
18,8,6
19,4,12
20,16,130
21,12,55
22,12,102
23,40,264
24,8,54
25,19,55
26,13,33
27,28,199
28,19,116
29,23,67
30,19,17
31,12,10
32,8,12
33,12,89
34,10,15
35,19,74
36,34,50
37,16,69
38,9,36
39,10,16
40,18,88
41,4,12
42,5,50
43,5,87
44,15,131
45,9,36
46,4,30
47,10,77
48,6,17
49,21,160
50,7,74
51,12,87
52,4,79
53,25,9
54,21,43
55,31,99
56,4,36
57,18,195
58,3,9
59,2,25
60,3,22
61,2,25
62,4,47
63,6,39
64,9,121
65,35,240
66,10,57
67,19,213
68,10,11
69,8,14
70,7,24
71,8,74
72,2,15
73,144,183
74,5,27
75,5,63
76,11,181
77,9,18
78,3,11
79,4,42
80,11,61
81,21,44
82,3,27
83,12,78
84,2,8
85,5,15
86,44,46
87,5,22
88,25,12
89,44,194
90,11,21
91,42,17
92,7,63
93,91,62
94,93,76
95,7,20
96,14,35
97,39,72
98,45,271
99,6,91
100,4,9
