Id, Generation time, Nr of test steps
1,294,70
2,113,297
3,36,177
4,27,136
5,29,106
6,15,70
7,29,52
8,33,178
9,24,142
10,9,64
11,7,77
12,17,139
13,49,63
14,23,198
15,39,371
16,16,65
17,15,111
18,11,94
19,30,280
20,22,148
21,12,100
22,23,207
23,16,181
24,14,146
25,35,144
26,16,106
27,18,119
28,10,93
29,7,77
30,8,67
31,9,65
32,25,416
33,47,388
34,24,333
35,47,300
36,55,251
37,38,193
38,34,143
39,12,129
40,10,102
41,12,89
42,32,51
43,17,104
44,40,316
45,6,66
46,17,248
47,26,227
48,19,218
49,18,87
50,12,151
51,9,27
52,11,120
53,8,105
54,19,90
55,10,196
56,7,75
57,6,34
58,7,133
59,13,118
60,8,131
61,13,116
62,7,101
63,7,92
64,14,200
65,12,183
66,12,169
67,4,37
68,9,149
69,12,135
70,11,240
71,13,227
72,17,212
73,14,175
74,11,230
75,18,217
76,26,141
77,14,110
78,7,149
79,18,331
80,21,308
81,12,277
82,20,257
83,18,223
84,12,266
85,21,65
86,26,145
87,19,110
88,8,142
89,16,180
90,12,159
91,6,89
92,9,62
93,7,107
94,7,92
95,21,138
96,21,295
97,8,40
98,15,240
99,9,223
100,32,212
