Id, Generation time, Nr of test steps
1,771,740
2,115,367
3,136,559
4,334,1065
5,41,380
6,48,435
7,314,1408
8,72,463
9,48,430
10,641,2031
11,25,300
12,20,225
13,187,933
14,215,946
15,98,519
16,208,1079
17,30,257
18,67,410
19,75,527
20,28,413
21,57,509
22,161,1195
23,41,616
24,142,846
25,163,1126
26,54,480
27,68,626
28,244,933
29,105,741
30,43,594
31,163,1197
32,171,1156
33,44,470
34,55,645
35,84,853
36,36,471
37,42,531
38,75,735
39,41,487
40,16,350
41,25,500
42,14,352
43,32,549
44,19,432
45,34,603
46,119,1260
47,27,394
48,36,628
49,15,327
50,11,250
51,60,876
52,94,1083
53,68,833
54,8,232
55,16,334
56,25,467
57,7,197
58,9,251
59,20,446
60,12,290
61,23,502
62,28,526
63,8,209
64,30,477
65,12,264
66,6,182
67,31,474
68,65,891
69,287,2046
70,48,793
71,14,359
72,25,541
73,18,426
74,22,444
75,33,507
76,105,827
77,72,739
78,57,627
79,31,456
80,69,676
81,135,1160
82,92,846
83,33,507
84,51,714
85,7,197
86,22,485
87,193,1612
88,20,481
89,112,1278
90,90,1059
91,22,422
92,218,1867
93,33,525
94,16,343
95,65,893
96,12,280
97,21,458
98,198,1731
99,34,661
100,58,883
