Id, Generation time, Nr of test steps
1,405,325
2,281,655
3,159,863
4,51,569
5,55,447
6,96,763
7,82,848
8,73,715
9,117,947
10,65,641
11,62,618
12,144,775
13,133,562
14,42,259
15,167,410
16,413,1225
17,130,692
18,18,256
19,252,1235
20,235,970
21,48,444
22,45,442
23,59,502
24,23,274
25,55,433
26,228,1029
27,28,364
28,60,651
29,20,288
30,24,413
31,83,670
32,11,187
33,68,718
34,21,328
35,24,399
36,51,648
37,31,389
38,35,483
39,12,264
40,42,391
41,29,429
42,80,976
43,39,563
44,43,367
45,185,1186
46,33,573
47,149,1294
48,6,160
49,10,272
50,176,1519
51,15,301
52,16,373
53,19,445
54,61,909
55,50,745
56,15,373
57,18,422
58,26,500
59,17,382
60,75,1058
61,39,593
62,41,612
63,18,348
64,181,1342
65,30,403
66,146,1309
67,21,317
68,106,834
69,153,1386
70,19,393
71,52,762
72,16,368
73,28,458
74,69,720
75,19,298
76,116,1223
77,47,640
78,32,511
79,38,655
80,48,659
81,45,640
82,48,617
83,100,1047
84,19,393
85,23,427
86,21,365
87,89,890
88,82,828
89,31,538
90,32,539
91,52,712
92,30,565
93,116,1207
94,27,499
95,120,1134
96,97,932
97,43,565
98,35,517
99,15,274
100,15,333
