Id, Generation time, Nr of test steps
1,280,66
2,44,24
3,43,6
4,34,20
5,13,23
6,17,14
7,52,136
8,11,25
9,18,7
10,14,20
11,5,10
12,9,24
13,44,111
14,22,31
15,9,9
16,23,76
17,22,16
18,19,22
19,20,29
20,9,14
21,8,8
22,26,88
23,14,12
24,33,84
25,22,75
26,30,96
27,31,104
28,11,23
29,32,164
30,16,46
31,42,112
32,18,39
33,28,35
34,18,7
35,14,68
36,20,46
37,90,53
38,30,108
39,4,19
40,19,78
41,83,200
42,17,74
43,96,415
44,9,42
45,10,29
46,13,65
47,35,46
48,8,49
49,12,54
50,5,24
51,27,152
52,41,311
53,10,72
54,3,8
55,15,32
56,10,125
57,4,36
58,3,10
59,9,26
60,11,112
61,22,33
62,12,21
63,12,107
64,47,300
65,46,129
66,10,23
67,16,64
68,19,81
69,4,15
70,6,75
71,29,200
72,36,232
73,51,20
74,15,10
75,30,236
76,45,100
77,4,14
78,16,77
79,10,55
80,42,24
81,110,52
82,14,38
83,4,20
84,11,7
85,39,52
86,34,8
87,6,9
88,13,20
89,14,120
90,14,30
91,13,120
92,11,94
93,50,34
94,64,117
95,28,70
96,14,28
97,21,26
98,6,22
99,62,39
100,59,38
