Id, Generation time, Nr of test steps
1,276,124
2,25,30
3,20,39
4,13,29
5,8,19
6,15,53
7,11,36
8,22,96
9,15,79
10,5,20
11,8,34
12,28,125
13,20,78
14,18,70
15,30,84
16,17,64
17,10,45
18,14,49
19,21,49
20,42,45
21,21,23
22,26,58
23,15,68
24,14,47
25,11,60
26,16,27
27,11,43
28,10,48
29,7,33
30,54,251
31,15,13
32,40,44
33,32,104
34,19,65
35,10,34
36,16,103
37,30,101
38,23,48
39,15,43
40,37,50
41,31,68
42,33,69
43,25,47
44,18,34
45,28,112
46,14,79
47,18,74
48,16,35
49,10,37
50,12,28
51,16,92
52,10,30
53,9,45
54,27,37
55,32,30
56,13,50
57,7,20
58,7,23
59,9,24
60,11,30
61,9,45
62,6,40
63,5,30
64,6,23
65,6,43
66,8,34
67,20,106
68,24,26
69,19,45
70,8,35
71,17,101
72,9,81
73,11,45
74,10,54
75,6,24
76,29,121
77,5,24
78,11,76
79,11,61
80,26,54
81,6,71
82,5,57
83,14,136
84,12,46
85,9,99
86,20,27
87,5,65
88,9,85
89,4,45
90,6,51
91,3,25
92,5,20
93,5,46
94,14,45
95,6,21
96,4,42
97,15,36
98,7,68
99,4,41
100,17,36
