Id, Generation time, Nr of test steps
1,856,679
2,406,721
3,163,385
4,297,796
5,375,935
6,105,566
7,147,647
8,252,804
9,662,1549
10,215,747
11,300,563
12,388,526
13,438,932
14,368,973
15,108,667
16,267,488
17,232,946
18,102,507
19,263,922
20,75,533
21,231,939
22,37,372
23,177,1002
24,236,586
25,301,888
26,88,678
27,30,284
28,91,652
29,95,615
30,89,501
31,177,1086
32,69,859
33,43,472
34,65,597
35,56,591
36,104,900
37,34,445
38,21,316
39,40,508
40,29,355
41,24,417
42,132,1186
43,43,542
44,53,595
45,71,640
46,65,531
47,134,848
48,212,811
49,58,426
50,173,874
51,42,386
52,203,1013
53,116,857
54,65,603
55,64,387
56,107,795
57,29,272
58,178,1026
59,45,464
60,32,428
61,27,435
62,29,412
63,25,322
64,167,913
65,55,657
66,34,509
67,17,330
68,72,677
69,50,704
70,141,1141
71,76,825
72,54,663
73,70,656
74,192,1257
75,321,1722
76,372,1190
77,175,596
78,297,1249
79,168,813
80,200,861
81,96,549
82,67,336
83,135,500
84,73,427
85,92,547
86,164,752
87,172,779
88,717,2674
89,45,610
90,67,696
91,56,652
92,42,397
93,46,463
94,119,763
95,46,561
96,37,478
97,119,1087
98,48,617
99,147,1258
100,31,485
