Id, Generation time, Nr of test steps
1,649,664
2,297,825
3,118,590
4,92,521
5,247,878
6,115,526
7,137,653
8,522,728
9,294,434
10,566,858
11,1208,559
12,753,1103
13,325,626
14,95,515
15,89,440
16,148,638
17,114,690
18,100,541
19,158,911
20,42,356
21,120,722
22,45,419
23,300,1152
24,242,1116
25,80,603
26,70,558
27,85,482
28,140,1085
29,33,395
30,37,392
31,66,637
32,58,476
33,163,777
34,79,810
35,69,772
36,161,963
37,59,504
38,41,463
39,46,562
40,40,448
41,78,504
42,13,201
43,73,479
44,36,485
45,52,401
46,48,423
47,97,619
48,90,562
49,46,586
50,38,528
51,54,658
52,54,551
53,97,809
54,100,677
55,105,874
56,34,405
57,157,823
58,97,667
59,147,950
60,138,861
61,123,808
62,300,1151
63,186,957
64,77,572
65,179,985
66,72,579
67,41,435
68,156,903
69,107,727
70,65,658
71,71,728
72,57,564
73,138,1025
74,75,587
75,464,1851
76,99,732
77,54,622
78,121,867
79,91,802
80,38,499
81,82,788
82,44,481
83,32,332
84,53,547
85,118,1006
86,30,430
87,52,659
88,41,564
89,42,617
90,12,267
91,55,448
92,46,430
93,289,1119
94,154,853
95,25,237
96,206,1066
97,72,555
98,95,725
99,565,1982
100,357,1506
